Date;Parcelle;Traitement;Exclos;Sous_Parcelle;Medaille;Temp;pH;Type_sol;Humidite_pourc;Temp_wet;Front_degel;Conductivite;Hmoyenne;Hmax_veg;Hmax_repro;Temp_vasculaires;Temp_mousses;Hobo_Out;Prof_hobo;Hobo_In;Couv_hobo;EC_Smart;Humidity_Smart;Temp_Smart;Flux_CH4;Flux_CO2;Flux_H2O;Eau;Niveau_Eau;Remarque
14/08/21;ROC3;6;Temoin;;;;;;71,1;8,6;38;33;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;6;Exclos;;;;;;71,3;8,1;41;26;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;6;Exclos;;;;;;70,4;7,7;42;26;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;6;Exclos;;;;;;70,9;7,4;40;37;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;1;Temoin;;;;;;68,5;9,3;41;21;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;1;Temoin;;;;;;71,5;9,7;44;22;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;1;Temoin;;;;;;71,3;8,5;43;20;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;1;Exclos;;;;;;76,5;8,3;45;20;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;1;Exclos;;;;;;71,2;8,1;43;17;;;;;;;;;;;;;;;;;;
14/08/21;ROC3;1;Exclos;;;;;;72,1;8,6;42;23;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;1;Temoin;;;;;;65,5;7,8;41;18;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;1;Temoin;;;;;;75;7,4;41;20;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;1;Temoin;;;;;;64,1;6,9;33;22;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;1;Exclos;;;;;;63,7;6,8;39;20;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;1;Exclos;;;;;;65,2;6,5;35;19;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;1;Exclos;;;;;;65,7;6,5;35;21;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;14;Temoin;;;;;;46,5;7;26;17;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;14;Temoin;;;;;;47,4;6,9;25;25;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;14;Temoin;;;;;;45,6;6,6;26;21;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;14;Exclos;;;;;;41,3;5,6;26;18;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;14;Exclos;;;;;;41,3;5,1;25;18;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;14;Exclos;;;;;;40,2;5,6;21;28;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;6;Temoin;;;;;;63,5;6,8;35;19;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;6;Temoin;;;;;;66,5;6,9;34;28;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;6;Temoin;;;;;;42,7;7,8;29;21;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;6;Exclos;;;;;;60,9;6,2;26;22;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;6;Exclos;;;;;;65;5,3;26;22;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;6;Exclos;;;;;;62,3;5,8;33;20;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;10;Temoin;;;;;;65,4;6,7;39;23;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;10;Temoin;;;;;;66;7,4;38;24;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;10;Temoin;;;;;;64,9;7,6;38;24;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;10;Exclos;;;;;;63,9;6,9;42;24;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;10;Exclos;;;;;;62,9;7;37;20;;;;;;;;;;;;;;;;;;
16/08/21;ROC6;10;Exclos;;;;;;64,7;7,2;36;22;;;;;;;;;;;;;;;;;;
16/08/21;33;PS;Temoin;;;;;;54,9;9;40;43;;;;;;;;;;;;;;;;;;
16/08/21;33;PS;Temoin;;;;;;57,4;8,4;40;46;;;;;;;;;;;;;;;;;;
16/08/21;33;PS;Temoin;;;;;;59,8;7,6;40;27;;;;;;;;;;;;;;;;;;
16/08/21;33;PS;Exclos;;;;;;46,8;6,8;33;34;;;;;;;;;;;;;;;;;;
16/08/21;33;PS;Exclos;;;;;;48,7;7,3;34;36;;;;;;;;;;;;;;;;;;
16/08/21;33;PS;Exclos;;;;;;56,2;7,4;24;34;;;;;;;;;;;;;;;;;;
16/08/21;36;PS;Temoin;;;;;;51,1;8,9;45;22;;;;;;;;;;;;;;;;;;
16/08/21;36;PS;Temoin;;;;;;47,1;8,1;49;48;;;;;;;;;;;;;;;;;;
16/08/21;36;PS;Temoin;;;;;;57,5;8,3;49;35;;;;;;;;;;;;;;;;;;
16/08/21;36;PS;Exclos;;;;;;43,8;8,4;42;53;;;;;;;;;;;;;;;;;;
16/08/21;36;PS;Exclos;;;;;;49,3;8,7;42;63;;;;;;;;;;;;;;;;;;
16/08/21;36;PS;Exclos;;;;;;59,9;8,2;39;35;;;;;;;;;;;;;;;;;;
17/08/21;G1;PO;Temoin;;;;;;31,2;10,9;34;44;;;;;;;;;;;;;;;;;;
17/08/21;G1;PO;Temoin;;;;;;47,1;8,6;23;19;;;;;;;;;;;;;;;;;;
17/08/21;G1;PO;Temoin;;;;;;52,6;7,2;21;21;;;;;;;;;;;;;;;;;;
17/08/21;G1;PO;Exclos;;;;;;11,5;8,4;34;56;;;;;;;;;;;;;;;;;;
17/08/21;G1;PO;Exclos;;;;;;47,8;6,9;25;30;;;;;;;;;;;;;;;;;;
17/08/21;G1;PO;Exclos;;;;;;52,6;6,7;37;64;;;;;;;;;;;;;;;;;;
17/08/21;E1;PO;Temoin;;;;;;54,3;9,5;37;72;;;;;;;;;;;;;;;;;;
17/08/21;E1;PO;Temoin;;;;;;54;8,9;30;44;;;;;;;;;;;;;;;;;;
17/08/21;E1;PO;Temoin;;;;;;46,7;8,3;31;38;;;;;;;;;;;;;;;;;;
17/08/21;E1;PO;Exclos;;;;;;49,8;8;32;63;;;;;;;;;;;;;;;;;;
17/08/21;E1;PO;Exclos;;;;;;13,7;6,9;28;33;;;;;;;;;;;;;;;;;;
17/08/21;E1;PO;Exclos;;;;;;27,5;7,3;23;12;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;10;Temoin;;;;;;65,3;8,9;28;26;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;10;Temoin;;;;;;47,6;7,4;23;26;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;10;Temoin;;;;;;68;8,3;38;26;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;10;Exclos;;;;;;68,5;7,9;39;29;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;10;Exclos;;;;;;69,7;8,3;39;28;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;10;Exclos;;;;;;68,6;8,3;37;30;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;6;Temoin;;;;;;66,3;9,7;32;27;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;6;Temoin;;;;;;68,5;8,9;37;25;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;6;Temoin;;;;;;69,6;8,5;38;25;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;6;Exclos;;;;;;69;7,9;35;23;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;6;Exclos;;;;;;60,3;9,3;40;28;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;6;Exclos;;;;;;67,3;9,7;35;28;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;1;Temoin;;;;;;63,4;8,8;46;34;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;1;Temoin;;;;;;65,1;9,2;44;39;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;1;Temoin;;;;;;66,4;9,2;45;27;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;1;Exclos;;;;;;65,2;8,8;46;24;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;1;Exclos;;;;;;67,9;8,8;40;22;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;1;Exclos;;;;;;69,3;8,4;43;19;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;14;Temoin;;;;;;67,3;9;31;38;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;14;Temoin;;;;;;60,2;8,5;31;27;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;14;Temoin;;;;;;57,6;8,5;31;39;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;14;Exclos;;;;;;66,7;8,4;33;22;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;14;Exclos;;;;;;50,5;7,8;25;23;;;;;;;;;;;;;;;;;;
18/08/21;ROC8;14;Exclos;;;;;;49,6;8,3;28;22;;;;;;;;;;;;;;;;;;
18/08/21;43;PA;Temoin;;;;;;63,9;8,5;37;19;;;;;;;;;;;;;;;;;;
18/08/21;43;PA;Temoin;;;;;;42,4;8,1;36;21;;;;;;;;;;;;;;;;;;
18/08/21;43;PA;Temoin;;;;;;51,8;6,7;36;23;;;;;;;;;;;;;;;;;;
18/08/21;43;PA;Exclos;;;;;;32,9;7,3;23;12;;;;;;;;;;;;;;;;;;
18/08/21;43;PA;Exclos;;;;;;28,1;7,2;22;24;;;;;;;;;;;;;;;;;;
18/08/21;43;PA;Exclos;;;;;;54,6;5,6;32;14;;;;;;;;;;;;;;;;;;
18/08/21;26;PA;Temoin;;;;;;31,7;9,4;37;25;;;;;;;;;;;;;;;;;;
18/08/21;26;PA;Temoin;;;;;;44,8;7,8;31;22;;;;;;;;;;;;;;;;;;
18/08/21;26;PA;Temoin;;;;;;57,4;8;28;22;;;;;;;;;;;;;;;;;;
18/08/21;26;PA;Exclos;;;;;;24,8;7,5;17;17;;;;;;;;;;;;;;;;;;
18/08/21;26;PA;Exclos;;;;;;12,5;6,8;19;21;;;;;;;;;;;;;;;;;;
18/08/21;26;PA;Exclos;;;;;;4,5;6,4;16;10;;;;;;;;;;;;;;;;;;
19/08/21;D1;PR;Temoin;;;;;;32,6;10,1;33;27;;;;;;;;;;;;;;;;;;
19/08/21;D1;PR;Temoin;;;;;;26,9;7,8;27;24;;;;;;;;;;;;;;;;;;
19/08/21;D1;PR;Temoin;;;;;;39,9;7,1;33;25;;;;;;;;;;;;;;;;;;
19/08/21;D1;PR;Exclos;;;;;;20,9;6,8;32;24;;;;;;;;;;;;;;;;;;
19/08/21;D1;PR;Exclos;;;;;;32,5;7,1;35;30;;;;;;;;;;;;;;;;;;
19/08/21;D1;PR;Exclos;;;;;;22,2;7,4;32;24;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
